{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -4.2759604601931755 -2.5760091014868394
Added to tree (2, 0) parent (3, 0)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.0, 'grasper': 0} -2.3305284368389607 -1.2410091257386142
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.743378597994905 -1.2647335462522875
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -4.071986855790584 -0.4626247836375299
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.3006571444249744 -1.9272292807897031
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.9216856779470959 -1.9407260089468004
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.076336672945928 -2.114254467656778
Added to tree (2, -1) parent (2, 0)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.4962077979326978 -0.7775750636959948
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -3.277723724588043 -0.2512100397739303
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.0, 'grasper': 0} -3.107233328692132 -2.4680651845441695
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.8990676559196373 -2.0637086632245776
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.252927297428741 -0.20864523272354063
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.115733897497819 -2.2866898746547406
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.0230818260850754 -3.4029809624568443
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.9550874930272357 -2.1304637628133563
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.9221886883607624 -3.319537716704126
